Priority,Count,Percentage,Mean_Waiting_Days,Median_Waiting_Days,Max_Waiting_Days
1,8437,97.27891156462584,106.455730709968,49.0,5536
2,232,2.6749682924017066,140.24137931034483,131.0,461
3,4,0.04612014297244321,55.5,52.0,76
